,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19
"C0: Kinh / Doanh (Tiếng Anh cơ bản, Sử dụng Execl và word thành thạo, Proficient in English or Chinese, equivalent to 6.5 IELTS or HSK 5)",0.99999946,0.3034856,0.15087174,0.24588382,0.48303986,0.3697283,0.11603353,0.39429337,0.12163689,0.21923314,0.21483359,0.25595346,0.6602283,0.20196655,0.275239,0.25230122,0.44583905,0.16449071,0.2864676,0.37976798
"C1: CNC / Máy (Lập trình CNC, NX, Mastercam)",0.3034856,0.99999994,0.6450925,0.5589734,0.538687,0.7576629,0.54675406,0.72591317,0.4849194,0.65000445,0.6232527,0.6593935,0.56315696,0.70829576,0.61860263,0.6218206,0.55896896,0.67287296,0.7285209,0.71208745
"C2: Engineer / Developer (Python, Docker, Kubernetes)",0.15087174,0.6450925,1.0000004,0.4638158,0.6185153,0.6765362,0.90078264,0.5353143,0.79592896,0.6702679,0.67820424,0.646055,0.3852303,0.7769588,0.773223,0.86116767,0.6114228,0.8674685,0.919302,0.7290713
"C3: Thiết / Kế (Adobe Photoshop, Adobe Illustrator, Illustrator)",0.24588382,0.5589734,0.4638158,1.0000004,0.36171597,0.4215249,0.37028226,0.7729346,0.46064574,0.9305174,0.35760644,0.30146578,0.38554335,0.7643988,0.41677082,0.483077,0.4526623,0.38688102,0.5707201,0.49193966
"C4: Kinh / Doanh (Kỹ năng giao tiếp, Kỹ năng đàm phán, Kỹ năng bán hàng)",0.48303986,0.538687,0.6185153,0.36171597,1.0000005,0.6715337,0.5352982,0.5922989,0.4963729,0.48313156,0.566741,0.5336693,0.6970966,0.5415964,0.5965076,0.622001,0.79968405,0.5934501,0.7216551,0.8010971
"C5: IT / Thuật (Hệ điều hành Windows, Phần mềm văn phòng, Mạng máy tính)",0.3697283,0.7576629,0.6765362,0.4215249,0.6715337,0.9999999,0.62492543,0.67814845,0.5214455,0.53009146,0.64780456,0.8748065,0.7292683,0.6300163,0.6899465,0.6966913,0.71514314,0.8442264,0.77259386,0.8314278
"C6: Developer / Java (Java, MySQL, Oracle)",0.11603353,0.54675406,0.90078264,0.37028226,0.5352982,0.62492543,0.99999994,0.456208,0.85504574,0.5600319,0.65096295,0.69128096,0.34854817,0.6504906,0.81748354,0.83453953,0.60393566,0.82470286,0.83032805,0.68539083
"C7: Thiết / Kế (Quay dựng video, audio editing, voice acting)",0.39429337,0.72591317,0.5353143,0.7729346,0.5922989,0.67814845,0.456208,1.0000001,0.4605721,0.79004186,0.54911673,0.5608507,0.6271539,0.78425014,0.54164815,0.62014514,0.60072005,0.52283335,0.67302144,0.7432568
"C8: Developer / Nhà (CSS, HTML, JavaScript)",0.12163689,0.4849194,0.79592896,0.46064574,0.4963729,0.5214455,0.85504574,0.4605721,0.9999998,0.6146317,0.548256,0.5155659,0.2962482,0.6720478,0.64570624,0.7534805,0.5591167,0.6807762,0.749066,0.5692645
"C9: Thiết / Kế (Photoshop, Illustrator, Figma)",0.21923314,0.65000445,0.6702679,0.9305174,0.48313156,0.53009146,0.5600319,0.79004186,0.6146317,0.99999994,0.47199965,0.39937922,0.39632326,0.9081497,0.55630076,0.637985,0.55345523,0.5715263,0.7665759,0.61010134
"C10: Tester / Manual (Kiểm thử phần mềm, SQL, Viết Testcase)",0.21483359,0.6232527,0.67820424,0.35760644,0.566741,0.64780456,0.65096295,0.54911673,0.548256,0.47199965,1.0000002,0.5872295,0.4863634,0.5562946,0.7353377,0.6752978,0.59331834,0.61104065,0.71766585,0.72213393
"C11: IT / Quản (VMware, Triển khai và vận hành hệ thống VOIP (Asterisk, FreePbx, FreeSWITCH, Kamailio, OpenSIPS, 3CX), Giao thức SIP, RTP, WebRTC, STUN/TURN/ICE, NAT Traversal)",0.25595346,0.6593935,0.646055,0.30146578,0.5336693,0.8748065,0.69128096,0.5608507,0.5155659,0.39937922,0.5872295,1.0,0.5738031,0.5115199,0.69058955,0.6381795,0.6399691,0.84407693,0.6726819,0.7665618
"C12: Doanh / Kinh (Tin học văn phòng, Tin học văn phòng (Word, Excel, PowerPoint), Sử dụng CRM)",0.6602283,0.56315696,0.3852303,0.38554335,0.6970966,0.7292683,0.34854817,0.6271539,0.2962482,0.39632326,0.4863634,0.5738031,1.0000001,0.3990253,0.58117867,0.45997483,0.6625313,0.45479122,0.5469483,0.69931716
"C13: 3D / Thiết (Photoshop, Unity, Maya)",0.20196655,0.70829576,0.7769588,0.7643988,0.5415964,0.6300163,0.6504906,0.78425014,0.6720478,0.9081497,0.5562946,0.5115199,0.3990253,0.9999999,0.6120469,0.7291282,0.58846086,0.6985178,0.8551641,0.6754675
"C14: tích / Phân (SQL, Excel, Python)",0.275239,0.61860263,0.773223,0.41677082,0.5965076,0.6899465,0.81748354,0.54164815,0.64570624,0.55630076,0.7353377,0.69058955,0.58117867,0.6120469,1.0000004,0.69606525,0.6690865,0.7280547,0.8001129,0.7514949
"C15: Developer / Tiếng (Java, Swift, Kotlin)",0.25230122,0.6218206,0.86116767,0.483077,0.622001,0.6966913,0.83453953,0.62014514,0.7534805,0.637985,0.6752978,0.6381795,0.45997483,0.7291282,0.69606525,1.0,0.642809,0.76641417,0.8623642,0.7525819
"C16: triển / kinh (Google Ads, B2B sales, Facebook Ads)",0.44583905,0.55896896,0.6114228,0.4526623,0.79968405,0.71514314,0.60393566,0.60072005,0.5591167,0.55345523,0.59331834,0.6399691,0.6625313,0.58846086,0.6690865,0.642809,1.0000005,0.6648946,0.7434791,0.8294761
"C17: Hệ / Engineer (Linux, Network, Storage)",0.16449071,0.67287296,0.8674685,0.38688102,0.5934501,0.8442264,0.82470286,0.52283335,0.6807762,0.5715263,0.61104065,0.84407693,0.45479122,0.6985178,0.7280547,0.76641417,0.6648946,1.0000005,0.8635404,0.7463582
