jd_id,job_title,cluster_id,cluster_name,distance_to_centroid,file_path
1,Kỹ Sư Hệ Thống,17,"Hệ / Engineer (Linux, Network, Storage)",0.4369,data\raw\jds\cntt\jd_0001_ky_su_he_thong.txt
2,Kỹ sư Frontend cao cấp (React/NextJS),8,"Developer / Nhà (CSS, HTML, JavaScript)",0.45,data\raw\jds\cntt\jd_0002_ky_su_frontend_cao_cap_reactnextjs.txt
3,Quản lý kỹ thuật (Java/NodeJS),6,"Developer / Java (Java, MySQL, Oracle)",0.5589,data\raw\jds\cntt\jd_0003_quan_ly_ky_thuat_javanodejs.txt
4,Nhân Viên Kinh Doanh,0,"Kinh / Doanh (Tiếng Anh cơ bản, Sử dụng Execl và word thành thạo, Proficient in English or Chinese, equivalent to 6.5 IELTS or HSK 5)",0.7935,data\raw\jds\cntt\jd_0004_nhan_vien_kinh_doanh.txt
5,Nhân Viên Chỉnh Sửa Hình Ảnh/Photo Editor,3,"Thiết / Kế (Adobe Photoshop, Adobe Illustrator, Illustrator)",0.4348,data\raw\jds\cntt\jd_0005_nhan_vien_chinh_sua_hinh_anhphoto_editor.txt
6,Backend Developer (Nodejs),6,"Developer / Java (Java, MySQL, Oracle)",0.5268,data\raw\jds\cntt\jd_0006_backend_developer_nodejs.txt
7,Chuyên Viên Lập Trình .NET,6,"Developer / Java (Java, MySQL, Oracle)",0.4798,data\raw\jds\cntt\jd_0007_chuyen_vien_lap_trinh_net.txt
8,Lập Trình Viên Front End (WEB),8,"Developer / Nhà (CSS, HTML, JavaScript)",0.411,data\raw\jds\cntt\jd_0008_lap_trinh_vien_front_end_web.txt
9,"Frontend Developer (.Net, Html, Css, JavaScript)",8,"Developer / Nhà (CSS, HTML, JavaScript)",0.447,data\raw\jds\cntt\jd_0009_frontend_developer_net_html_css_javascri.txt
10,Nhân Viên Phân Tích Dữ Liệu AI,14,"tích / Phân (SQL, Excel, Python)",0.5209,data\raw\jds\cntt\jd_0010_nhan_vien_phan_tich_du_lieu_ai.txt
11,Nhà phân tích kinh doanh,19,"Nhà / kinh (Quản lý dự án, Phân tích nghiệp vụ, Phân tích yêu cầu)",0.6291,data\raw\jds\cntt\jd_0011_nha_phan_tich_kinh_doanh.txt
12,Thực Tập Sinh Thiết Kế Đồ Họa,3,"Thiết / Kế (Adobe Photoshop, Adobe Illustrator, Illustrator)",0.3234,data\raw\jds\cntt\jd_0012_thuc_tap_sinh_thiet_ke_o_hoa.txt
13,UA Marketing (Marketing Android App),16,"triển / kinh (Google Ads, B2B sales, Facebook Ads)",0.7884,data\raw\jds\cntt\jd_0013_ua_marketing_marketing_android_app.txt
14,3D Designer,13,"3D / Thiết (Photoshop, Unity, Maya)",0.5184,data\raw\jds\cntt\jd_0014_3d_designer.txt
15,Nhân Viên Kinh Doanh Phần Mềm,0,"Kinh / Doanh (Tiếng Anh cơ bản, Sử dụng Execl và word thành thạo, Proficient in English or Chinese, equivalent to 6.5 IELTS or HSK 5)",0.457,data\raw\jds\cntt\jd_0015_nhan_vien_kinh_doanh_phan_mem.txt
16,Kỹ sư tự động hóa,2,"Engineer / Developer (Python, Docker, Kubernetes)",0.5304,data\raw\jds\cntt\jd_0016_ky_su_tu_ong_hoa.txt
17,Nhà phát triển phụ trợ cao cấp,2,"Engineer / Developer (Python, Docker, Kubernetes)",0.5455,data\raw\jds\cntt\jd_0017_nha_phat_trien_phu_tro_cao_cap.txt
18,Kỹ sư độ tin cậy trang web của Junior (SRE),2,"Engineer / Developer (Python, Docker, Kubernetes)",0.4994,data\raw\jds\cntt\jd_0018_ky_su_o_tin_cay_trang_web_cua_junior_sre.txt
19,Quản lý dự án Junior,19,"Nhà / kinh (Quản lý dự án, Phân tích nghiệp vụ, Phân tích yêu cầu)",0.5973,data\raw\jds\cntt\jd_0019_quan_ly_du_an_junior.txt
20,"Lập Trình Viên IOS (Swift, Objective-C)",15,"Developer / Tiếng (Java, Swift, Kotlin)",0.6165,data\raw\jds\cntt\jd_0020_lap_trinh_vien_ios_swift_objective_c.txt
21,Nhà phân tích kinh doanh cao cấp,19,"Nhà / kinh (Quản lý dự án, Phân tích nghiệp vụ, Phân tích yêu cầu)",0.6462,data\raw\jds\cntt\jd_0021_nha_phan_tich_kinh_doanh_cao_cap.txt
22,Kỹ Sư Phần Mềm,15,"Developer / Tiếng (Java, Swift, Kotlin)",0.7672,data\raw\jds\cntt\jd_0022_ky_su_phan_mem.txt
23,.NET Backend Engineer (Senior),6,"Developer / Java (Java, MySQL, Oracle)",0.5271,data\raw\jds\cntt\jd_0023_net_backend_engineer_senior.txt
24,Senior .NET Developer,6,"Developer / Java (Java, MySQL, Oracle)",0.408,data\raw\jds\cntt\jd_0024_senior_net_developer.txt
