mode,cv_source,jd_source,label,graph_path
file,D:\doantotnghiep\data\raw\cvs\cv_06_backend_java.txt,data\raw\jds\cntt\jd_0105_nha_phat_trien_phan_mem_nodejs_oracle_mi.txt,3,D:\doantotnghiep\data\processed\graphs\graph_000000.pt
file,D:\doantotnghiep\data\raw\cvs\cv_06_backend_java.txt,data\raw\jds\cntt\jd_1288_java_developer_giao_tiep_tieng_anh.txt,2,D:\doantotnghiep\data\processed\graphs\graph_000001.pt
file,D:\doantotnghiep\data\raw\cvs\cv_06_backend_java.txt,data\raw\jds\cntt\jd_0744_devops_engineer.txt,1,D:\doantotnghiep\data\processed\graphs\graph_000002.pt
file,D:\doantotnghiep\data\raw\cvs\cv_06_backend_java.txt,data\raw\jds\cntt\jd_1574_it_ky_su_he_thong.txt,1,D:\doantotnghiep\data\processed\graphs\graph_000003.pt
file,D:\doantotnghiep\data\raw\cvs\cv_06_backend_java.txt,data\raw\jds\cntt\jd_0068_chuyen_vien_kinh_doanh_phan_mem.txt,0,D:\doantotnghiep\data\processed\graphs\graph_000004.pt
file,D:\doantotnghiep\data\raw\cvs\cv_08_frontend_react.txt,data\raw\jds\cntt\jd_1574_it_ky_su_he_thong.txt,3,D:\doantotnghiep\data\processed\graphs\graph_000005.pt
file,D:\doantotnghiep\data\raw\cvs\cv_08_frontend_react.txt,data\raw\jds\cntt\jd_1267_thuc_tap_sinh_lap_trinh_web.txt,2,D:\doantotnghiep\data\processed\graphs\graph_000006.pt
file,D:\doantotnghiep\data\raw\cvs\cv_08_frontend_react.txt,data\raw\jds\cntt\jd_0105_nha_phat_trien_phan_mem_nodejs_oracle_mi.txt,1,D:\doantotnghiep\data\processed\graphs\graph_000007.pt
file,D:\doantotnghiep\data\raw\cvs\cv_08_frontend_react.txt,data\raw\jds\cntt\jd_0744_devops_engineer.txt,1,D:\doantotnghiep\data\processed\graphs\graph_000008.pt
file,D:\doantotnghiep\data\raw\cvs\cv_08_frontend_react.txt,data\raw\jds\cntt\jd_0068_chuyen_vien_kinh_doanh_phan_mem.txt,0,D:\doantotnghiep\data\processed\graphs\graph_000009.pt
