cv_path,jd_path,label,note
D:\doantotnghiep\data\raw\cvs\cv_06_backend_java.txt,jd_0105,3,Same Cluster (Good Match)
D:\doantotnghiep\data\raw\cvs\cv_06_backend_java.txt,jd_1288,2,Same Cluster Rank 2 (Partial Match)
D:\doantotnghiep\data\raw\cvs\cv_06_backend_java.txt,jd_0744,1,"Hard Negative (Cluster 2, sim=0.9008)"
D:\doantotnghiep\data\raw\cvs\cv_06_backend_java.txt,jd_1574,1,"Hard Negative (Cluster 8, sim=0.855)"
D:\doantotnghiep\data\raw\cvs\cv_06_backend_java.txt,jd_0068,0,"Easy Negative (Cluster 0, sim=0.116)"
D:\doantotnghiep\data\raw\cvs\cv_08_frontend_react.txt,jd_1574,3,Same Cluster (Good Match)
D:\doantotnghiep\data\raw\cvs\cv_08_frontend_react.txt,jd_1267,2,Same Cluster Rank 2 (Partial Match)
D:\doantotnghiep\data\raw\cvs\cv_08_frontend_react.txt,jd_0105,1,"Hard Negative (Cluster 6, sim=0.855)"
D:\doantotnghiep\data\raw\cvs\cv_08_frontend_react.txt,jd_0744,1,"Hard Negative (Cluster 2, sim=0.7959)"
D:\doantotnghiep\data\raw\cvs\cv_08_frontend_react.txt,jd_0068,0,"Easy Negative (Cluster 0, sim=0.1216)"
D:\doantotnghiep\data\raw\cvs\cv_02_devops_cloud.txt,jd_0744,3,Same Cluster (Good Match)
D:\doantotnghiep\data\raw\cvs\cv_02_devops_cloud.txt,jd_1431,2,Same Cluster Rank 2 (Partial Match)
D:\doantotnghiep\data\raw\cvs\cv_02_devops_cloud.txt,jd_1129,1,"Hard Negative (Cluster 18, sim=0.9193)"
D:\doantotnghiep\data\raw\cvs\cv_02_devops_cloud.txt,jd_0105,1,"Hard Negative (Cluster 6, sim=0.9008)"
D:\doantotnghiep\data\raw\cvs\cv_02_devops_cloud.txt,jd_0068,0,"Easy Negative (Cluster 0, sim=0.1509)"
D:\doantotnghiep\data\raw\cvs\cv_10_qa_tester.txt,jd_1587,3,Same Cluster (Good Match)
D:\doantotnghiep\data\raw\cvs\cv_10_qa_tester.txt,jd_1295,2,Same Cluster Rank 2 (Partial Match)
D:\doantotnghiep\data\raw\cvs\cv_10_qa_tester.txt,jd_0174,1,"Hard Negative (Cluster 14, sim=0.7353)"
D:\doantotnghiep\data\raw\cvs\cv_10_qa_tester.txt,jd_1653,1,"Hard Negative (Cluster 19, sim=0.7221)"
D:\doantotnghiep\data\raw\cvs\cv_10_qa_tester.txt,jd_0068,0,"Easy Negative (Cluster 0, sim=0.2148)"
D:\doantotnghiep\data\raw\cvs\cv_14_data_analyst.txt,jd_0174,3,Same Cluster (Good Match)
D:\doantotnghiep\data\raw\cvs\cv_14_data_analyst.txt,jd_1130,2,Same Cluster Rank 2 (Partial Match)
D:\doantotnghiep\data\raw\cvs\cv_14_data_analyst.txt,jd_0105,1,"Hard Negative (Cluster 6, sim=0.8175)"
D:\doantotnghiep\data\raw\cvs\cv_14_data_analyst.txt,jd_1129,1,"Hard Negative (Cluster 18, sim=0.8001)"
D:\doantotnghiep\data\raw\cvs\cv_14_data_analyst.txt,jd_0068,0,"Easy Negative (Cluster 0, sim=0.2752)"
D:\doantotnghiep\data\raw\cvs\cv_15_mobile_developer.txt,jd_0061,3,Same Cluster (Good Match)
D:\doantotnghiep\data\raw\cvs\cv_15_mobile_developer.txt,jd_1259,2,Same Cluster Rank 2 (Partial Match)
D:\doantotnghiep\data\raw\cvs\cv_15_mobile_developer.txt,jd_1129,1,"Hard Negative (Cluster 18, sim=0.8624)"
D:\doantotnghiep\data\raw\cvs\cv_15_mobile_developer.txt,jd_0744,1,"Hard Negative (Cluster 2, sim=0.8612)"
D:\doantotnghiep\data\raw\cvs\cv_15_mobile_developer.txt,jd_0068,0,"Easy Negative (Cluster 0, sim=0.2523)"
D:\doantotnghiep\data\raw\cvs\cv_17_network_security.txt,jd_0577,3,Same Cluster (Good Match)
D:\doantotnghiep\data\raw\cvs\cv_17_network_security.txt,jd_0732,2,Same Cluster Rank 2 (Partial Match)
D:\doantotnghiep\data\raw\cvs\cv_17_network_security.txt,jd_0744,1,"Hard Negative (Cluster 2, sim=0.8675)"
D:\doantotnghiep\data\raw\cvs\cv_17_network_security.txt,jd_1129,1,"Hard Negative (Cluster 18, sim=0.8635)"
D:\doantotnghiep\data\raw\cvs\cv_17_network_security.txt,jd_0068,0,"Easy Negative (Cluster 0, sim=0.1645)"
D:\doantotnghiep\data\raw\cvs\cv_18_business_analyst.txt,jd_1129,3,Same Cluster (Good Match)
D:\doantotnghiep\data\raw\cvs\cv_18_business_analyst.txt,jd_1215,2,Same Cluster Rank 2 (Partial Match)
D:\doantotnghiep\data\raw\cvs\cv_18_business_analyst.txt,jd_0744,1,"Hard Negative (Cluster 2, sim=0.9193)"
D:\doantotnghiep\data\raw\cvs\cv_18_business_analyst.txt,jd_0577,1,"Hard Negative (Cluster 17, sim=0.8635)"
D:\doantotnghiep\data\raw\cvs\cv_18_business_analyst.txt,jd_0068,0,"Easy Negative (Cluster 0, sim=0.2865)"
D:\doantotnghiep\data\raw\cvs\cv_19_project_manager.txt,jd_1653,3,Same Cluster (Good Match)
D:\doantotnghiep\data\raw\cvs\cv_19_project_manager.txt,jd_0839,2,Same Cluster Rank 2 (Partial Match)
D:\doantotnghiep\data\raw\cvs\cv_19_project_manager.txt,jd_1129,1,"Hard Negative (Cluster 18, sim=0.8444)"
D:\doantotnghiep\data\raw\cvs\cv_19_project_manager.txt,jd_1083,1,"Hard Negative (Cluster 5, sim=0.8314)"
D:\doantotnghiep\data\raw\cvs\cv_19_project_manager.txt,jd_0068,0,"Easy Negative (Cluster 0, sim=0.3798)"
D:\doantotnghiep\data\raw\cvs\cv_05_it_support.txt,jd_1083,3,Same Cluster (Good Match)
D:\doantotnghiep\data\raw\cvs\cv_05_it_support.txt,jd_0696,2,Same Cluster Rank 2 (Partial Match)
